[05-Jan-2024 10:06:37 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:37 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:38 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:38 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:38 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:38 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:38 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:38 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:38 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:38 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:39 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:39 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:39 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:39 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:39 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:39 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:39 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:39 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:40 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:40 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 283
[05-Jan-2024 10:06:40 Africa/Nairobi] PHP Warning:  Undefined variable $rows in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
[05-Jan-2024 10:06:40 Africa/Nairobi] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\nrs_projects\New folder\emgwen\bursary_system_php\students\dashboard.php on line 285
